img_id,folder_name,category_id,category_abbre,category_full_name,yolo_labels,places365_label
010891.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,airplane,
010892.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,couch,
010893.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
010895.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
010896.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,fire hydrant,
010898.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
010899.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
010900.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,tv,
010901.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
010903.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
010904.jpg,PATTERN,23,PL-Pat,Pattern,,
010906.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
010908.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,bird,
010909.jpg,PATTERN,23,PL-Pat,Pattern,,
010911.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,,
010912.jpg,PERSPECTIVE,21,S-Per,Perspective,,
010914.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
010915.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,giraffe,
010917.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"bird,cat",
010918.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,book,
010919.jpg,DENSE,22,PL-Den,Random- Dense,,
010920.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
010921.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
010922.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,donut,
010923.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
010925.jpg,PATTERN,23,PL-Pat,Pattern,,
010926.jpg,PATTERN,23,PL-Pat,Pattern,,
010928.jpg,SCATTER,24,P-Scat,Scatter,"cup,bowl",
010929.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,,
010930.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
010931.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,"orange,carrot",
010932.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
010933.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,apple,
010934.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
010935.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"banana,cup",
010936.jpg,PERSPECTIVE,21,S-Per,Perspective,"bench,car,person",
010938.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
010939.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,sheep,
010940.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
010941.jpg,PATTERN,23,PL-Pat,Pattern,,
010943.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
010944.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
010945.jpg,PERSPECTIVE,21,S-Per,Perspective,"bus,train",
010946.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,,
010947.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
010947.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
010948.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,donut,
010949.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,"person,tennis racket",
010950.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,"bird,frisbee",
010951.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
010952.jpg,DENSE,22,PL-Den,Random- Dense,"cake,sports ball",
010953.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"baseball glove,person",
010954.jpg,SCATTER,24,P-Scat,Scatter,"scissors,vase,potted plant",
010956.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
010957.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
010958.jpg,SCATTER,24,P-Scat,Scatter,"knife,orange,person",
010959.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,car,
010961.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,,
010962.jpg,PERSPECTIVE,21,S-Per,Perspective,,
010965.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,person,
010966.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,sandwich,
010967.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,kite,
010969.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bowl,
010970.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,person,
010972.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
010973.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"person,cell phone,handbag",
010974.jpg,PATTERN,23,PL-Pat,Pattern,,
010975.jpg,DENSE,22,PL-Den,Random- Dense,"bowl,cake",
010976.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"donut,dining table,bowl",
010977.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,orange,
010978.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
010979.jpg,SCATTER,24,P-Scat,Scatter,bird,
010980.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,boat,
010981.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,teddy bear,
010982.jpg,DENSE,22,PL-Den,Random- Dense,,
010983.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,,
010984.jpg,PATTERN,23,PL-Pat,Pattern,"umbrella,surfboard",
010985.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,vase,
010986.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"person,boat",
010987.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
010988.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,bird,
010989.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
010990.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
010991.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
010992.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,dog,
010993.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
010994.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,"person,car",
010995.jpg,PATTERN,23,PL-Pat,Pattern,umbrella,
010996.jpg,PATTERN,23,PL-Pat,Pattern,car,
010997.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,"vase,potted plant",
010998.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,bowl,
010999.jpg,DENSE,22,PL-Den,Random- Dense,,
011000.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"dining table,bowl",
011001.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
011002.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
011003.jpg,PATTERN,23,PL-Pat,Pattern,,
011004.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
011005.jpg,PATTERN,23,PL-Pat,Pattern,,
011007.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,tennis racket,
011009.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,person,
011010.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
011011.jpg,DIFFUSE,20,LS-Dif,Diffuse,clock,
011013.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011014.jpg,PATTERN,23,PL-Pat,Pattern,surfboard,
011015.jpg,PATTERN,23,PL-Pat,Pattern,chair,
011016.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,boat,
011017.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,motorcycle,
011018.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011019.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
011020.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011021.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,dog,
011022.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011023.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"cow,sheep,bird",
011024.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,dog,
011026.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011027.jpg,DIFFUSE,20,LS-Dif,Diffuse,umbrella,
011028.jpg,DENSE,22,PL-Den,Random- Dense,potted plant,
011029.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,banana,
011030.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,bird,
011031.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,person,
011032.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,traffic light,
011033.jpg,PATTERN,23,PL-Pat,Pattern,car,
011034.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,apple,
011035.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"car,motorcycle",
011036.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
011037.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
011039.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011041.jpg,DIFFUSE,20,LS-Dif,Diffuse,umbrella,
011042.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,dog,
011043.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011044.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
011045.jpg,DIFFUSE,20,LS-Dif,Diffuse,"clock,apple",
011046.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,book,
011047.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,scissors,
011048.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,"laptop,person",
011049.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011051.jpg,PERSPECTIVE,21,S-Per,Perspective,train,
011053.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,"bird,person",
011054.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,orange,
011055.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,"vase,bird",
011056.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
011057.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,"potted plant,person",
011058.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,baseball bat,
011059.jpg,SCATTER,24,P-Scat,Scatter,kite,
011060.jpg,SCATTER,24,P-Scat,Scatter,,
011061.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011062.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,fire hydrant,
011063.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011064.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,bicycle,
011065.jpg,PATTERN,23,PL-Pat,Pattern,refrigerator,
011066.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
011067.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"bowl,kite,bird",
011068.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011069.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"bird,kite",
011070.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,vase,
011071.jpg,DENSE,22,PL-Den,Random- Dense,,
011072.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011073.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
011074.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"cup,dining table,spoon",
011075.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011076.jpg,PERSPECTIVE,21,S-Per,Perspective,"train,bicycle,car",
011077.jpg,DENSE,22,PL-Den,Random- Dense,,
011078.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"person,umbrella",
011079.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,potted plant,
011080.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
011081.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
011082.jpg,DENSE,22,PL-Den,Random- Dense,,
011083.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
011084.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,,
011085.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,bird,
011086.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011087.jpg,PATTERN,23,PL-Pat,Pattern,,
011088.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011089.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,bird,
011091.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011092.jpg,PATTERN,23,PL-Pat,Pattern,,
011093.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"cake,dining table",
011095.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011096.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
011097.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
011098.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,bird,
011099.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011100.jpg,PATTERN,23,PL-Pat,Pattern,bicycle,
011101.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
011102.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
011103.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,toilet,
011104.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,,
011105.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011106.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011107.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011108.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,"vase,potted plant",
011109.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011110.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011111.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011112.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,airplane,
011113.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,person,
011114.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
011116.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,,
011118.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011119.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
011120.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,apple,
011121.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,boat,
011122.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011123.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,"dog,boat",
011124.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,potted plant,
011125.jpg,DIFFUSE,20,LS-Dif,Diffuse,person,
011126.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011127.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,bird,
011128.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
011130.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,chair,
011131.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"boat,person",
011132.jpg,SCATTER,24,P-Scat,Scatter,bowl,
011133.jpg,PATTERN,23,PL-Pat,Pattern,scissors,
011134.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,vase,
011135.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,bear,
011136.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"person,surfboard",
011137.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,bench,
011138.jpg,PATTERN,23,PL-Pat,Pattern,,
011139.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,person,
011140.jpg,SCATTER,24,P-Scat,Scatter,"orange,bowl",
011141.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
011142.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011143.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011145.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,car,
011146.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
011147.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,scissors,
011149.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,"person,car",
011151.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
011153.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,"person,horse",
011154.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011155.jpg,SCATTER,24,P-Scat,Scatter,"clock,book",
011156.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
011157.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,orange,
011158.jpg,PATTERN,23,PL-Pat,Pattern,tie,
011159.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,"vase,car",
011161.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
011162.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,bottle,
011163.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
011164.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
011165.jpg,PATTERN,23,PL-Pat,Pattern,,
011167.jpg,PATTERN,23,PL-Pat,Pattern,,
011168.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
011169.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011170.jpg,PERSPECTIVE,21,S-Per,Perspective,"person,backpack",
011171.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011172.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"donut,kite",
011173.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
011174.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
011175.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011176.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"apple,dining table",
011177.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
011178.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,potted plant,
011179.jpg,DENSE,22,PL-Den,Random- Dense,,
011180.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011182.jpg,DENSE,22,PL-Den,Random- Dense,bicycle,
011183.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011184.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
011185.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,kite,
011186.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
011187.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,bird,
011188.jpg,DENSE,22,PL-Den,Random- Dense,cake,
011189.jpg,PATTERN,23,PL-Pat,Pattern,,
011190.jpg,DENSE,22,PL-Den,Random- Dense,bed,
011191.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"person,tie",
011192.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,baseball bat,
011193.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
011194.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
011195.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,orange,
011196.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,potted plant,
011197.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011198.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"cake,bowl",
011199.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
011200.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,"person,tv,bottle",
011201.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
011202.jpg,PATTERN,23,PL-Pat,Pattern,,
011204.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,umbrella,
011205.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,cell phone,
011206.jpg,SCATTER,24,P-Scat,Scatter,"orange,apple",
011207.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
011208.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011209.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
011210.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
011211.jpg,PATTERN,23,PL-Pat,Pattern,person,
011213.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
011214.jpg,PERSPECTIVE,21,S-Per,Perspective,bench,
011215.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"surfboard,bottle",
011216.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011217.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011218.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,,
011219.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,clock,
011220.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,apple,
011222.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,,
011223.jpg,SCATTER,24,P-Scat,Scatter,,
011224.jpg,DENSE,22,PL-Den,Random- Dense,cake,
011225.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
011226.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
011227.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011228.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011229.jpg,PERSPECTIVE,21,S-Per,Perspective,"person,handbag",
011230.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"person,handbag",
011231.jpg,SCATTER,24,P-Scat,Scatter,"cup,scissors",
011232.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011233.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011234.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011235.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
011236.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
011237.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,"person,bird",
011238.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
011239.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011241.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"bottle,vase",
011242.jpg,PATTERN,23,PL-Pat,Pattern,bench,
011243.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"car,person",
011244.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
011245.jpg,PATTERN,23,PL-Pat,Pattern,chair,
011246.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,motorcycle,
011247.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,fire hydrant,
011249.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
011250.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
011251.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bear,
011253.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011254.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"cake,dining table",
011255.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011256.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
011257.jpg,PATTERN,23,PL-Pat,Pattern,"chair,surfboard",
011259.jpg,PERSPECTIVE,21,S-Per,Perspective,,
011260.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,cake,
011262.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
011263.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"person,car",
011264.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,"toothbrush,fork",
011265.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,sheep,
011266.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,person,
011267.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
011267.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
011269.jpg,DENSE,22,PL-Den,Random- Dense,"bed,tie",
011270.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
011271.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,bird,
011272.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,,
011273.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
011274.jpg,PATTERN,23,PL-Pat,Pattern,,
011275.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,"apple,orange",
011276.jpg,PATTERN,23,PL-Pat,Pattern,,
011277.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,frisbee,
011278.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,"sports ball,frisbee",
011279.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"kite,bird",
011281.jpg,PATTERN,23,PL-Pat,Pattern,,
011282.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,cell phone,
011283.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,bench,
011284.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,dog,
011286.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"horse,person",
011288.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,frisbee,
011289.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
011290.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
011291.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
011291.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
011292.jpg,SCATTER,24,P-Scat,Scatter,,
011293.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
011294.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,cat,
011295.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,apple,
